"Data","Municipio","confirmed","deaths","is_last","estimated_population_2019","city_ibge_code","confirmed_per_100k_inhabitants","death_rate","Área","População","Densidade Demográfica","Taxa Geométrica de Crescimento Anual da População - 2010/2020","Grau de Urbanização","Índice de Envelhecimento","População com Menos de 15 Anos","População com 60 Anos e Mais","Razão de Sexos","Qtd_Leitos_UTI_Adulto","SUS","Qtd_Leitos_UTI_Pediatrica","SUS_Pediatrica"
"2020-04-10","São Bernardo do Campo",174,9,"False",838936,3548708,20.74056,0.0517,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-04-10","São Caetano do Sul",62,1,"False",161127,3548807,38.47896,0.0161,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-04-10","São Paulo",5982,409,"False",12252023,3550308,48.82459,0.0684,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-04-09","Guarulhos",154,11,"False",1379182,3518800,11.16604,0.0714,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-04-09","São Bernardo do Campo",164,7,"False",838936,3548708,19.54857,0.0427,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-04-09","São Caetano do Sul",59,1,"False",161127,3548807,36.61708,0.0169,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-04-09","São Paulo",5477,384,"False",12252023,3550308,44.70282,0.0701,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-04-08","Guarulhos",119,7,"False",1379182,3518800,8.6283,0.0588,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-04-08","São Bernardo do Campo",147,7,"False",838936,3548708,17.52219,0.0476,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-04-08","São Caetano do Sul",57,1,"False",161127,3548807,35.37582,0.0175,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-04-08","São Paulo",4947,339,"False",12252023,3550308,40.37701,0.0685,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-04-07","Guarulhos",74,7,"False",1379182,3518800,5.3655,0.0946,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-04-07","São Bernardo do Campo",129,6,"False",838936,3548708,15.37662,0.0465,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-04-07","São Caetano do Sul",50,1,"False",161127,3548807,31.03142,0.02,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-04-07","São Paulo",4258,296,"False",12252023,3550308,34.75344,0.0695,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-04-06","Guarulhos",63,6,"False",1379182,3518800,4.56793,0.0952,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-04-06","São Bernardo do Campo",89,5,"False",838936,3548708,10.60868,0.0562,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-04-06","São Caetano do Sul",39,1,"False",161127,3548807,24.20451,0.0256,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-04-06","São Paulo",3754,244,"False",12252023,3550308,30.63984,0.065,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
