Date,Country,Lat,Long,Confirmed,Deaths,GDP_Nominal_per_capta,Province/State,pop,urbanpop,density,medianage,smokers,tests,testpop,health_exp_pc,hospibed,quarantine,schools,restrictions,temperature,humidity,recovered
2020-03-08,Afghanistan,33,65,4,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,12,39,0
2020-03-09,Afghanistan,33,65,4,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,11,49,0
2020-03-10,Afghanistan,33,65,5,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,6,91,0
2020-03-11,Afghanistan,33,65,7,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,7,82,0
2020-03-12,Afghanistan,33,65,7,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,13,60,0
2020-03-13,Afghanistan,33,65,7,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,15,48,0
2020-03-14,Afghanistan,33,65,11,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,17,36,0
2020-03-15,Afghanistan,33,65,16,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,17,33,0
2020-03-16,Afghanistan,33,65,21,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,18,44,1
2020-03-17,Afghanistan,33,65,22,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,18,51,1
2020-03-18,Afghanistan,33,65,22,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,19,49,1
2020-03-19,Afghanistan,33,65,22,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,20,44,1
2020-03-20,Afghanistan,33,65,24,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,20,47,1
2020-03-21,Afghanistan,33,65,24,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,19,47,1
2020-03-22,Afghanistan,33,65,40,1,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,20,47,1
2020-01-22,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,11,45,0
2020-01-23,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,14,45,0
2020-01-24,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,13,56,0
2020-01-25,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,12,81,0
2020-01-26,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,13,79,0
2020-01-27,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,10,91,0
2020-01-28,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,10,91,0
2020-01-29,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,10,92,0
2020-01-30,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,11,82,0
