Data,Municipio,confirmados,Mortos,população,confirmado_100K,taxa_mortalidade,Área,População,dens_demog,tx_cresc_pop,grau_urb,ind_env,pop_menor_15,pop_60_mais,razao_sexo,Qtd_Leitos_UTI_Adulto,SUS_adulto,Qtd_Leitos_UTI_Pediatrica,SUS_Pediatrica
2020-04-09,São Bernardo do Campo,164,7,838936,19.54857,0.0427,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-04-09,São Caetano do Sul,59,1,161127,36.61708,0.0169,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-04-09,São Paulo,5477,384,12252023,44.70282,0.0701,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-04-08,Guarulhos,119,7,1379182,8.6283,0.0588,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-04-08,São Bernardo do Campo,147,7,838936,17.52219,0.0476,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-04-08,São Caetano do Sul,57,1,161127,35.37582,0.0175,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-04-08,São Paulo,4947,339,12252023,40.37701,0.0685,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-04-07,Guarulhos,74,7,1379182,5.3655,0.0946,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-04-07,São Bernardo do Campo,129,6,838936,15.37662,0.0465,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-04-07,São Caetano do Sul,50,1,161127,31.03142,0.02,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-04-07,São Paulo,4258,296,12252023,34.75344,0.0695,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-04-06,Guarulhos,63,6,1379182,4.56793,0.0952,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-04-06,São Bernardo do Campo,89,5,838936,10.60868,0.0562,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-04-06,São Caetano do Sul,39,1,161127,24.20451,0.0256,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-04-06,São Paulo,3754,244,12252023,30.63984,0.065,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-04-05,Guarulhos,62,5,1379182,4.49542,0.0806,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-04-05,São Bernardo do Campo,81,5,838936,9.65509,0.0617,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-04-05,São Caetano do Sul,38,1,161127,23.58388,0.0263,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-04-05,São Paulo,3612,220,12252023,29.48085,0.0609,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-04-04,Guarulhos,62,5,1379182,4.49542,0.0806,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
